fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1.2,left,1,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7016,,,1,38,86,34,1,,,,,
0.8,left,1,,,,,,stim/upper.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5343,,,1,39,87,0,1,,,,,
0.95,right,1,,,,,,stim/blank.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5464,,,1,40,88,43,1,,,,,
0.95,right,1,,,,,,stim/lower.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6093,,,1,41,89,4,1,,,,,
0.6,left,1,,,,,,stim/centre.png,stim/incongRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6738,,,1,42,90,30,1,,,,,
1.45,left,1,,,,,,stim/centre.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6006,,,1,43,91,2,1,,,,,
1.5,left,1,,,,,,stim/both.png,stim/neutralLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5726,,,1,44,92,33,1,,,,,
1,right,1,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5649,,,1,45,93,39,1,,,,,
0.45,right,1,,,,,,stim/upper.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.768,,,1,46,94,40,1,,,,,
1.2,left,1,,,,,,stim/blank.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5742,,,1,47,95,3,1,,,,,
,,,,,,,,,,,,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,,,,,,,,,0,0,0,0,1
1.3,left,1,,,,,,stim/lower.png,stim/incongRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8502,,,0,0,0,28,1,,,,,
0.95,right,1,,,,,,stim/blank.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6614,,,0,1,1,11,1,,,,,
0.6,right,1,,,,,,stim/both.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.4901,,,0,2,2,41,1,,,,,
0.55,left,1,,,,,,stim/lower.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.4396,,,0,3,3,12,1,,,,,
0.45,right,1,,,,,,stim/both.png,stim/incongRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.866,,,0,4,4,25,1,,,,,
1.5,right,1,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6407,,,0,5,5,38,1,,,,,
