,group,condition,subject,phase,trial,target,hand_angle,error,movement_time,reaction_time,peak_velocity,rot_direction,rot
198,0,0,2,Base,87,0,-10.0,-10.0,0.597209,0.514817,0.12495999999999999,CCW,0
4156,0,1,2,Adaptation,285,0,34.63695,4.63695,1011.655617,331.2329395,,CCW,-30
280,0,0,2,Base,88,-30,-9.85,-9.85,0.9494469999999999,0.732544,0.14444500000000002,CCW,0
4157,0,1,2,Adaptation,286,0,25.8455,-4.1545,1092.608004,381.3868417,,CCW,-30
303,0,0,2,Base,89,-90,-11.8,-11.8,1.07378,0.42780100000000004,0.16242,CCW,0
4158,0,1,2,Adaptation,287,0,23.727629999999998,-6.27237,776.0092882,456.03559400000006,,CCW,-30
361,0,1,2,Base,90,150,3.82,3.82,1.19539,0.679833,0.202681,CCW,0
4159,0,1,2,Adaptation,288,0,32.97087,2.97087,574.1137417,532.2575715,,CCW,-30
356,0,1,2,Base,91,120,3.91,3.91,0.770265,0.112258,0.0994704,CCW,0
4160,0,1,2,Adaptation,289,0,37.90384,7.90384,1055.458136,541.3958209,,CCW,-30
222,0,0,2,Base,92,60,-12.3,-12.3,0.80285,0.471447,0.18344100000000002,CCW,0
4161,0,1,2,Adaptation,290,0,25.06859,-4.93141,644.8467824,279.22774219999997,,CCW,-30
238,0,0,2,Base,93,90,1.06,1.06,1.06082,0.0869811,0.0881276,CCW,0
4162,0,1,2,Adaptation,291,0,30.91719,0.91719,1056.807028,523.7021755,,CCW,-30
261,0,0,2,Base,94,150,-11.4,-11.4,1.1148,0.36428499999999997,0.196772,CCW,0
4163,0,1,2,Adaptation,292,0,25.34907,-4.650930000000001,1123.786854,525.996489,,CCW,-30
342,0,1,2,Base,95,60,-6.34,-6.34,0.6460279999999999,0.42139499999999996,0.182307,CCW,0
4164,0,1,2,Adaptation,293,0,25.24653,-4.75347,738.2950599,491.1884675,,CCW,-30
389,0,1,2,Base,96,-120,-5.79,-5.79,0.9340200000000001,0.33482,0.23704499999999998,CCW,0
4165,0,1,2,Adaptation,294,0,33.53776,3.53776,938.9299841,351.8663813,,CCW,-30
320,0,0,2,Base,97,-150,-2.53,-2.53,1.02197,0.77025,0.171522,CCW,0
4166,0,1,2,Adaptation,295,0,30.748237,0.748237,860.7893011,294.5146382,,CCW,-30
276,0,0,2,Base,98,-30,7.12,7.12,1.0484799999999999,0.227354,0.0329144,CCW,0
4167,0,1,2,Adaptation,296,0,30.225842999999998,0.225843,1072.128324,539.2563107000001,,CCW,-30
359,0,1,2,Base,99,120,-1.57,-1.57,0.875451,0.5236729999999999,0.07470039999999999,CCW,0
4168,0,1,2,Adaptation,297,0,29.502710999999998,-0.49728900000000004,856.0275646,479.2229985,,CCW,-30
388,0,1,2,Base,100,-120,-1.35,-1.35,0.830916,0.476631,0.284065,CCW,0
4169,0,1,2,Adaptation,298,0,23.17354,-6.826460000000001,1054.341436,444.65953719999993,,CCW,-30
310,0,0,2,Base,101,-120,-7.06,-7.06,0.9857969999999999,0.06250660000000001,0.216021,CCW,0
4170,0,1,2,Adaptation,299,0,29.524684000000004,-0.47531599999999996,709.3393,348.5134048,,CCW,-30
298,0,0,2,Base,102,-90,-3.63,-3.63,1.0964399999999999,0.368584,0.160046,CCW,0
4171,0,1,2,Adaptation,300,0,39.817040000000006,9.817039999999999,907.0455865,352.6407802,,CCW,-30
384,0,1,2,Base,103,-120,-8.41,-8.41,0.6162569999999999,0.171455,0.26357800000000003,CCW,0
4172,0,1,2,Adaptation,301,0,25.04488,-4.95512,889.5974875,415.5664764,,CCW,-30
232,0,0,2,Base,104,60,9.32,9.32,0.736685,0.468337,0.250656,CCW,0
4173,0,1,2,Adaptation,302,0,32.18311,2.1831099999999997,993.1142141,329.15334839999997,,CCW,-30
277,0,0,2,Base,105,-30,10.2,10.2,0.792322,0.2437,0.11274,CCW,0
4174,0,1,2,Adaptation,303,0,31.170890000000004,1.17089,834.4089865,281.8167745,,CCW,-30
219,0,0,2,Base,106,30,2.7,2.7,0.607064,0.996715,0.13275399999999998,CCW,0
4175,0,1,2,Adaptation,304,0,38.30325,8.30325,734.5258535,591.2985105,,CCW,-30
364,0,1,2,Base,107,150,-4.07,-4.07,0.849774,0.0947511,0.05241849999999999,CCW,0
